,Nome,Valor
247,['Skanos Coração Dracônico\nSkanos Dragonheart'],"['R$ 0,44']"
248,['Serpente da Caveira\nSkullwinder'],"['R$ 0,44']"
249,['Repartir os Despojos\nSplit the Spoils'],"['R$ 7,40']"
250,['Atravessar as Terras Longínquas\nTraverse the Outlands'],"['R$ 1,50']"
251,['Miconídeo do Subcelário\nUndercellar Myconid'],"['R$ 0,43']"
252,['Aventureiro da Montanha Subterrânea\nUndermountain Adventurer'],"['R$ 1,42']"
253,"['Wilson, Urso Pardo Refinado\nWilson, Refined Grizzly']","['R$ 0,25']"
254,['Você Vê o Tarrasque\nYou Look Upon the Tarrasque'],"['R$ 1,44']"
255,['Vocês se Encontram numa Taverna\nYou Meet in a Tavern'],"['R$ 1,88']"
256,"['Alaundo, o Vidente\nAlaundo the Seer']","['R$ 2,33']"
257,"['Astarion, o Hedonista\nAstarion, the Decadent']","['R$ 24,44']"
258,"['Baba Lysaga, Bruxa da Noite\nBaba Lysaga, Night Witch']","['R$ 0,44']"
259,"['Bane, Senhor das Trevas\nBane, Lord of Darkness']","['R$ 8,44']"
260,"['Bhaal, Senhor do Assassinato\nBhaal, Lord of Murder']","['R$ 2,85']"
261,"['Cadira, Convocadora dos Pequenos\nCadira, Caller of the Small']","['R$ 1,88']"
262,['Comandante Liara Portyr\nCommander Liara Portyr'],"['R$ 0,14']"
263,['O Conselho dos Quatro\nThe Council of Four'],"['R$ 7,75']"
264,['Duque Ulder Ravengard\nDuke Ulder Ravengard'],"['R$ 6,42']"
265,"['Dynaheir, Adepta Invocadora\nDynaheir, Invoker Adept']","['R$ 6,48']"
266,['Elminster'],"['R$ 8,24']"
267,"['Gluntch, o Generoso\nGluntch, the Bestower']","['R$ 6,89']"
268,"['Gorion, Mentor Sábio\nGorion, Wise Mentor']","['R$ 2,88']"
269,"['Jan Jansen, Artífice do Caos\nJan Jansen, Chaos Crafter']","['R$ 1,90']"
270,"['Jon Irenicus, O Despedaçado\nJon Irenicus, Shattered One']","['R$ 7,75']"
271,"['Kagra, Arquidruida das Sombras\nKagha, Shadow Archdruid']","['R$ 7,41']"
272,"['Korlessa, Cantora das Escamas\nKorlessa, Scale Singer']","['R$ 9,90']"
273,"[""Lozhan, Legado dos Dragões\nLozhan, Dragons' Legacy""]","['R$ 64,50']"
274,"['Mahadi, Mestre do Empório\nMahadi, Emporium Master']","['R$ 6,40']"
275,"['Mazzy, Paladina da Espada Pura\nMazzy, Truesword Paladin']","['R$ 10,43']"
276,"['Miirym, Dragão Sentinela\nMiirym, Sentinel Wyrm']","['R$ 16,42']"
277,"['Minsc & Boo, Heróis Atemporais\nMinsc & Boo, Timeless Heroes']","['R$ 12,40']"
278,"['Minthara, Alma Impiedosa\nMinthara, Merciless Soul']","['R$ 2,42']"
279,"['Myrkul, Senhor dos Ossos\nMyrkul, Lord of Bones']","['R$ 2,42']"
280,"['Neera, Maga Selvagem\nNeera, Wild Mage']","['R$ 2,42']"
281,['Astele Keene\nNine-Fingers Keene'],"['R$ 3,75']"
282,"['Oji, Lâmina Requintada\nOji, the Exquisite Blade']","['R$ 8,40']"
283,"['Raggadragga, Chefe dos Rancatripa\nRaggadragga, Goreguts Boss']","['R$ 28,75']"
284,"['Raphael, Salvador Demoníaco\nRaphael, Fiendish Savior']","['R$ 64,25']"
285,"['Rilsa Rael, Chefona\nRilsa Rael, Kingpin']","['R$ 2,42']"
286,"['Tasha, a Rainha Bruxa\nTasha, the Witch Queen']","['R$ 9,90']"
287,"['Thrakkus, o Açougueiro\nThrakkus the Butcher']","['R$ 8,88']"
288,"['Zevlor, Exilado de Elturel\nZevlor, Elturel Exile']","['R$ 9,90']"
289,['Enciclopédia Arcana\nArcane Encyclopedia'],"['R$ 2,33']"
290,['Sinete Arcano\nArcane Signet'],"['R$ 9,70']"
291,['Mochila de Carga\nBag of Holding'],"['R$ 14,94']"
292,['Colar de Basilisco\nBasilisk Collar'],"['R$ 2,42']"
293,['Lâmina dos Egos\nBlade of Selves'],"['R$ 63,94']"
294,['Morsa de Bronze\nBronze Walrus'],"['R$ 1,41']"
295,['Cervo Brunido\nBurnished Hart'],"['R$ 8,94']"
296,['Fogueira\nCampfire'],"['R$ 0,10']"
297,['Diamante de Carvão\nCharcoal Diamond'],"['R$ 5,79']"
298,['Dragão de Chardalyn\nChardalyn Dragon'],"['R$ 0,20']"
299,['Manto do Morcego\nCloak of the Bat'],"['R$ 6,75']"
300,['Raposa Mecânica\nClockwork Fox'],"['R$ 34,75']"
301,['Garrafa da Água Infinita\nDecanter of Endless Water'],"['R$ 0,44']"
302,['Mímico Atroz\nDire Mimic'],"['R$ 0,60']"
303,['Toupeira de Perfuração\nDrillworks Mole'],"['R$ 1,89']"
304,"[""Kit do Explorador de Masmorras\nDungeoneer's Pack""]","['R$ 0,49']"
305,['Diamante de Fogo\nFire Diamond'],"['R$ 0,44']"
306,['Corda Puída\nFraying Line'],"['R$ 0,44']"
307,['Colosso do Portão\nGate Colossus'],"['R$ 0,44']"
308,['Golem do Geodo\nGeode Golem'],"['R$ 0,44']"
309,['Mastim de Ferro\nIron Mastiff'],"['R$ 0,44']"
310,['Lanterna Reveladora\nLantern of Revealing'],"['R$ 1,88']"
311,['Chave Múltipla\nManifold Key'],"['R$ 2,44']"
312,['Diamante de Mármore\nMarble Diamond'],"['R$ 0,49']"
313,['Duodrone em Marcha\nMarching Duodrone'],"['R$ 7,74']"
314,['Marut'],"['R$ 0,22']"
315,['Golem Meteórico\nMeteor Golem'],"['R$ 2,92']"
316,['Servo Poderoso de Leuk-o\nMighty Servant of Leuk-o'],"['R$ 1,25']"
317,['Pedra da Mente\nMind Stone'],"['R$ 0,44']"
318,['Espelho do Aprisionamento\nMirror of Life Trapping'],"['R$ 0,80']"
319,['Diamante de Limo\nMoss Diamond'],"['R$ 0,49']"
320,['Nave Nautiloide\nNautiloid Ship'],"['R$ 0,44']"
321,['Orbe de Navegação\nNavigation Orb'],"['R$ 0,44']"
322,['Diagrama de Autômato Leve\nNimblewright Schematic'],"['R$ 0,25']"
323,"[""Bolsa de Nobre\nNoble's Purse""]","['R$ 9,73']"
324,"[""Selo de Patriar\nPatriar's Seal""]","['R$ 1,90']"
325,"[""Olho do Peregrino\nPilgrim's Eye""]","['R$ 14,94']"
326,['Estátua Cobiçada\nPrized Statue'],"['R$ 0,21']"
327,['Prisma Profético\nProphetic Prism'],"['R$ 29,89']"
328,['Tapete Sufocador\nRug of Smothering'],"['R$ 0,44']"
329,['Diamante Celeste\nSky Diamond'],"['R$ 0,48']"
330,['Cristal do Orador das Pedras\nStonespeaker Crystal'],"['R$ 1,85']"
331,['Botas Pé-ligeiro\nSwiftfoot Boots'],"['R$ 2,88']"
332,"[""Tocha do Pioneiro\nTrailblazer's Torch""]","['R$ 0,05']"
333,['Guardião do Tesouro\nTreasure Keeper'],"['R$ 0,44']"
334,['Solvente Universal\nUniversal Solvent'],"['R$ 0,14']"
335,['Caixa Enigmática Desconcertante\nVexing Puzzlebox'],"['R$ 2,41']"
336,"[""Bijuteria do Viajante\nWayfarer's Bauble""]","['R$ 0,50']"
337,"[""Portal de Baldur\nBaldur's Gate""]","['R$ 2,49']"
338,['Portão do Basilisco\nBasilisk Gate'],"['R$ 6,90']"
339,['Portão do Dragão Negro\nBlack Dragon Gate'],"['R$ 0,44']"
340,['Alameda da Abundância\nBountiful Promenade'],"['R$ 0,10']"
341,['Portão da Cidadela\nCitadel Gate'],"['R$ 0,10']"
342,['Portão do Penhasco\nCliffgate'],"['R$ 38,70']"
343,['Torre de Comando\nCommand Tower'],"['R$ 4,75']"
344,['Terras em Desenvolvimento\nEvolving Wilds'],"['R$ 13,44']"
345,['Portão de Gond\nGond Gate'],"['R$ 0,55']"
346,['Portão do Depósito\nHeap Gate'],"['R$ 0,94']"
347,['Suíte Luxuosa\nLuxury Suite'],"['R$ 39,90']"
348,['Portão da Mansão\nManor Gate'],"['R$ 0,94']"
349,['Piscina Mórfica\nMorphic Pool'],"['R$ 0,94']"
