,Nome,Valor
271,['Duque Ulder Ravengard\nDuke Ulder Ravengard'],"['R$ 5,95']"
272,"['Dynaheir, Adepta Invocadora\nDynaheir, Invoker Adept']","['R$ 5,95']"
273,['Elminster'],"['R$ 54,95']"
274,"['Gluntch, o Generoso\nGluntch, the Bestower']","['R$ 3,95']"
275,"['Gorion, Mentor Sábio\nGorion, Wise Mentor']","['R$ 10,43']"
276,"['Jan Jansen, Artífice do Caos\nJan Jansen, Chaos Crafter']","['R$ 14,95']"
277,"['Jon Irenicus, O Despedaçado\nJon Irenicus, Shattered One']","['R$ 5,95']"
278,"['Kagra, Arquidruida das Sombras\nKagha, Shadow Archdruid']","['R$ 1,95']"
279,"['Korlessa, Cantora das Escamas\nKorlessa, Scale Singer']","['R$ 1,95']"
280,"[""Lozhan, Legado dos Dragões\nLozhan, Dragons' Legacy""]","['R$ 1,95']"
281,"['Mahadi, Mestre do Empório\nMahadi, Emporium Master']","['R$ 2,95']"
282,"['Mazzy, Paladina da Espada Pura\nMazzy, Truesword Paladin']","['R$ 7,95']"
283,"['Miirym, Dragão Sentinela\nMiirym, Sentinel Wyrm']","['R$ 28,70']"
284,"['Minsc & Boo, Heróis Atemporais\nMinsc & Boo, Timeless Heroes']","['R$ 63,94']"
285,"['Minthara, Alma Impiedosa\nMinthara, Merciless Soul']","['R$ 1,95']"
286,"['Myrkul, Senhor dos Ossos\nMyrkul, Lord of Bones']","['R$ 9,90']"
287,"['Neera, Maga Selvagem\nNeera, Wild Mage']","['R$ 7,95']"
288,['Astele Keene\nNine-Fingers Keene'],"['R$ 9,90']"
289,"['Oji, Lâmina Requintada\nOji, the Exquisite Blade']","['R$ 1,95']"
290,"['Raggadragga, Chefe dos Rancatripa\nRaggadragga, Goreguts Boss']","['R$ 9,70']"
291,"['Raphael, Salvador Demoníaco\nRaphael, Fiendish Savior']","['R$ 13,95']"
292,"['Rilsa Rael, Chefona\nRilsa Rael, Kingpin']","['R$ 1,95']"
293,"['Tasha, a Rainha Bruxa\nTasha, the Witch Queen']","['R$ 63,74']"
294,"['Thrakkus, o Açougueiro\nThrakkus the Butcher']","['R$ 1,41']"
295,"['Zevlor, Exilado de Elturel\nZevlor, Elturel Exile']","['R$ 8,94']"
296,['Enciclopédia Arcana\nArcane Encyclopedia'],"['R$ 0,10']"
